"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"FBgn0001226",1329.8381743366,-1.72844208108971,0.237065618497575,-7.29098589683257,3.07694979890375e-13,2.13201851566041e-09
"FBgn0033367",15388.0315848116,-1.41768327752206,0.20812119947692,-6.81181581254186,9.63744500848329e-12,3.33889282318903e-08
"FBgn0031307",1800.91505763672,-0.885395708529078,0.140101809330078,-6.31965934460631,2.62140522100686e-10,4.54092919408914e-07
"FBgn0033649",683.633265679022,0.849272756560771,0.133949665607014,6.34023797455678,2.29410529133995e-10,4.54092919408914e-07
"FBgn0034354",374.056937681859,-1.05007087572895,0.168129113989056,-6.24562189626062,4.22117181457079e-10,5.8496999006322e-07
"FBgn0000565",604.239026121431,-0.803970371243113,0.1314461040923,-6.11634994277635,9.57429561953224e-10,1.0119843486152e-06
"FBgn0034718",498.339535554547,-1.49170149296145,0.244934344562796,-6.09020958503843,1.12762965910492e-09,1.0119843486152e-06
"FBgn0260011",89.6871685092987,-2.39825295576693,0.394156442444071,-6.08452050382819,1.16840450121541e-09,1.0119843486152e-06
"FBgn0028514",599.984765901819,1.02935055269907,0.170873230068506,6.02405977979339,1.70095493955277e-09,1.19707861042874e-06
"FBgn0039464",823.588550707144,-1.07917616735282,0.179219247999975,-6.02154165579897,1.72763546028105e-09,1.19707861042874e-06
"FBgn0037754",269.873187461857,2.04798080945346,0.349926135929968,5.85260887704407,4.8392124324178e-09,3.04826390402027e-06
"FBgn0261362",5822.82432583722,-1.46754789929628,0.251602320437954,-5.83280749057392,5.45024379388684e-09,3.14706160398683e-06
"FBgn0051523",4605.9224231417,0.825782848692879,0.142495229648165,5.79516135895789,6.82555233417056e-09,3.63801939411291e-06
"FBgn0004507",1836.92283507821,-0.884973069964834,0.157123738804606,-5.63233205050804,1.77788953015881e-08,8.21266436964695e-06
"FBgn0033635",2501.21251864791,-1.29058099743755,0.229063681798434,-5.63415809658211,1.75915587502506e-08,8.21266436964695e-06
"FBgn0031327",759.71817883248,-1.2326815039876,0.219494434293625,-5.61600346703369,1.95424740755243e-08,8.46311267933174e-06
"FBgn0029002",1595.51252922851,-1.47776012432741,0.266922743239511,-5.53628404381189,3.08956368223024e-08,1.25926980906902e-05
"FBgn0040388",1480.6524099693,0.958136503284441,0.178625767285681,5.36393219099274,8.14294835178182e-08,3.13458272941646e-05
"FBgn0001224",601.50400395957,-1.39794366519047,0.263725329219807,-5.30075616675151,1.15324026865394e-07,4.20568516921219e-05
"FBgn0001225",422.00028217095,-1.2581974891184,0.250776887794223,-5.0171987545791,5.24303199865708e-07,0.00017414787724214
"FBgn0003501",278.837183428209,-1.92600948086194,0.383979141966013,-5.0159221435846,5.27797001311147e-07,0.00017414787724214
"FBgn0039479",176.442348054715,-1.44603250570143,0.290198184283649,-4.98291369145172,6.26338926903376e-07,0.000197268292023341
"FBgn0010316",467.536516082392,0.835851712742915,0.172105904209721,4.85661265707876,1.19410855851125e-06,0.000350963412206998
"FBgn0260960",3035.20037960179,0.504739993578778,0.104004217635533,4.85307235661886,1.2156331206477e-06,0.000350963412206998
"FBgn0033764",65.5820044965695,-3.04249837958386,0.628070733744672,-4.8441970245038,1.27124738143992e-06,0.000352338924239889
"FBgn0259246",347.802908566592,-1.03419641679574,0.216527326619848,-4.7762858985991,1.78562476442941e-06,0.000475868999720437
"FBgn0025740",843.613789415396,0.77153396019179,0.163566547093218,4.71694227152749,2.3941558655718e-06,0.000614411333057296
"FBgn0066084",14670.9063916175,-0.605283572489294,0.129644238070301,-4.66880427158723,3.0295783388144e-06,0.000749712439630177
"FBgn0031538",217.78093157171,-0.847423352329975,0.182005017338742,-4.656043908684,3.22343216806035e-06,0.000751054255478783
"FBgn0063649",647.411617891361,1.13055633792316,0.242908929463559,4.65423951445461,3.25178635652526e-06,0.000751054255478783
"FBgn0032405",80.0429618061774,-2.36533699892822,0.509519256367276,-4.64229166880244,3.44565992623653e-06,0.000770160568673966
"FBgn0086910",87.4661496149913,-1.68685560715243,0.36414599675123,-4.63236070752365,3.61519564854186e-06,0.000782802832773329
"FBgn0038107",1284.90797039156,-0.509846026534104,0.110989709163527,-4.59363332309416,4.35594501906573e-06,0.000862352658203042
"FBgn0038149",997.239793760263,-0.949031508657147,0.206567230635472,-4.59429845545976,4.34207556229374e-06,0.000862352658203042
"FBgn0051092",153.812104311712,-2.00440804533705,0.435969980176243,-4.59758271550431,4.27420959504496e-06,0.000862352658203042
"FBgn0002778",1197.95473156799,0.616283681384508,0.134924969849256,4.56760288383275,4.93333548670342e-06,0.000949530044093555
"FBgn0030805",342.163717870557,-0.999004300813663,0.220267260699143,-4.53541891628723,5.74892618335524e-06,0.00107660296012077
"FBgn0032004",962.890032755799,0.977537515598632,0.215913298411096,4.52745394930429,5.96986052609228e-06,0.00108855693645509
"FBgn0033268",82.7269753047966,-1.17727659186053,0.261265660928363,-4.50605176232222,6.60449828731042e-06,0.00111616021055546
"FBgn0052407",187.272775901059,1.82194856984338,0.404274366042349,4.50671307132178,6.58395684876548e-06,0.00111616021055546
"FBgn0053926",775.022423441002,-0.963263743859032,0.213770392071673,-4.50606716170529,6.60401925851268e-06,0.00111616021055546
"FBgn0063498",344.475502488362,1.18467583785472,0.263888374017781,4.48930667091418,7.14553646652569e-06,0.00117884338515611
"FBgn0030662",715.037828304052,-0.628677778319436,0.140554729043902,-4.47283262965183,7.71901943061412e-06,0.00124383920080756
"FBgn0001258",1525.61251927939,-0.842959551494869,0.189118493417404,-4.45730894034975,8.29949515580187e-06,0.00130698186214889
"FBgn0035811",1039.29959574894,-0.855199760575185,0.194642439613977,-4.39369626825092,1.11439486013648e-05,0.00171592044130793
"FBgn0002868",100.167895796743,1.77448927400141,0.409274763796878,4.33569188957392,1.45302353920065e-05,0.00205469389859618
"FBgn0003996",78.961703672982,-1.11978443026271,0.25781690112783,-4.34333212975631,1.40337721861199e-05,0.00205469389859618
"FBgn0036299",657.498446614052,-0.872687875045404,0.200901262453744,-4.3438645650439,1.39997843669689e-05,0.00205469389859618
"FBgn0261015",435.636432672013,1.10886130567416,0.255563264994404,4.33889160751818,1.4320312640874e-05,0.00205469389859618
"FBgn0037153",103.633647628685,-1.65451374115265,0.382165666560256,-4.32931025972156,1.49577079550161e-05,0.00207283916840613
"FBgn0032638",132.086564571121,1.25349700707353,0.290206414168115,4.31932909087044,1.56504256509572e-05,0.00212630979089181
"FBgn0031389",1991.03238641536,0.513235248233095,0.119265746575875,4.30329128830452,1.68279370453563e-05,0.00224232261129373
"FBgn0000071",343.984728958147,-2.52532616710979,0.588112207146413,-4.29395298452138,1.75519658689248e-05,0.00225217725010703
"FBgn0259224",253.105918665943,-1.12229646261896,0.261299266126309,-4.29506167107434,1.74644780533155e-05,0.00225217725010703
"FBgn0039101",294.807624927594,0.887034596939141,0.208019256078005,4.26419464074283,2.0062450341299e-05,0.00252750397117929
"FBgn0027843",745.760097862901,-0.644415945674255,0.151422923366836,-4.25573573238378,2.08362699336457e-05,0.00253587986924241
"FBgn0259111",2350.8371166333,-0.641024215081027,0.150635298527138,-4.25547146883068,2.08608966007819e-05,0.00253587986924241
"FBgn0031117",327.679161957644,-0.956103375853389,0.225526422677072,-4.23942952894003,2.24088525311746e-05,0.00263171083370354
"FBgn0037290",67.4904223186998,-2.63047994094219,0.620341798764438,-4.24037191461454,2.23149741524671e-05,0.00263171083370354
"FBgn0034221",140.988969545418,0.983048308635183,0.233478826076281,4.21043880147833,2.54875160924329e-05,0.00294338331674113
"FBgn0053556",221.830207149827,-1.11481100978338,0.265031835211517,-4.20632868083064,2.59552672752013e-05,0.00294826306475196
"FBgn0020493",336.592432957416,0.729755943665828,0.174210305139163,4.18893671693465,2.80264535041652e-05,0.00308246502111684
"FBgn0052625",156.622428412652,-1.5045949475642,0.358910242484733,-4.19212039519379,2.76359259128137e-05,0.00308246502111684
"FBgn0033724",153.447376527253,-1.3395954849539,0.320179708649282,-4.18388626376465,2.86567524106816e-05,0.0031025412102127
"FBgn0035968",296.284951724794,-1.01254690420659,0.242292691011124,-4.17902372531784,2.92763146267466e-05,0.00312085513921118
"FBgn0004066",2820.26317706037,-0.562833039951546,0.135190092653306,-4.16327135298979,3.13720165503027e-05,0.0032692339070452
"FBgn0039109",476.268508713057,1.07958112496674,0.259419114448071,4.1615326891529,3.16118735419294e-05,0.0032692339070452
"FBgn0038608",397.592191840029,0.611372586560641,0.147103316408578,4.15607616121012,3.23759936430489e-05,0.00329901852871597
"FBgn0015903",644.707273944936,0.523953849476241,0.126415961948117,4.14468110990033,3.40286922414269e-05,0.00341717113827315
"FBgn0034438",74.9771888892927,-1.75055158644105,0.423045538682873,-4.13797434642919,3.50385535568273e-05,0.00346682967188753
"FBgn0040009",474.396859876319,0.792507807163959,0.191666994269066,4.13481627437335,3.55238716559409e-05,0.00346682967188753
"FBgn0025836",93.8472154729353,1.09525175030932,0.265298765780229,4.12837107284782,3.65342193302893e-05,0.00351591119082743
"FBgn0038528",153.317677506741,-1.2765398553005,0.310070793621616,-4.11693033191086,3.83952072908372e-05,0.00364438892216728
"FBgn0032598",316.493347922555,-0.966580515536309,0.235373998672241,-4.10657303265802,4.01572532088983e-05,0.00376012983087103
"FBgn0029114",1393.67400811227,0.480854801927846,0.11744326696188,4.09435818984774,4.23339422982807e-05,0.00391109181579716
"FBgn0015568",211.15408088764,-1.01028882264631,0.247299536806939,-4.08528392608764,4.40229513345378e-05,0.00396149389346769
"FBgn0038341",429.363064162049,-0.81719430852766,0.19991904675642,-4.08762607558511,4.35809845844901e-05,0.00396149389346769
"FBgn0001257",8121.99458259903,-0.661721620042199,0.162903159049166,-4.06205517378878,4.86425763298386e-05,0.00432108219730067
"FBgn0036641",224.045018860953,-0.779045795363626,0.192097020644358,-4.05548088539032,5.00312639974189e-05,0.00438818516757109
"FBgn0011274",778.707331178913,0.702885724699307,0.173508527632399,4.05101544166442,5.09958415871857e-05,0.00441687732947012
"FBgn0034067",142.252369226164,-0.970660706233167,0.240459028521038,-4.03669894286479,5.42085591582202e-05,0.00463717415317664
"FBgn0024984",121.199200410758,-1.3086933499886,0.324598293422724,-4.03173207162951,5.53672865881422e-05,0.00467853571669801
"FBgn0001137",494.824361641136,0.999976963744874,0.248527233178025,4.02361121941341,5.73124994530973e-05,0.00478455793627122
"FBgn0001124",1270.18050677513,-0.638391621794,0.159107787040808,-4.01232166990209,6.01244957268748e-05,0.0049595551296609
"FBgn0034400",5953.93100908705,0.510621203396573,0.127503199723702,4.00477168026438,6.2077409856768e-05,0.00506040438702995
"FBgn0025678",10305.0363530691,-0.528373075693835,0.132244542261896,-3.99542443609845,6.45784528844019e-05,0.00520307093065141
"FBgn0034390",788.929793476693,-0.528897431421961,0.132576926174076,-3.98936260392332,6.62510806188108e-05,0.0052764797426177
"FBgn0040827",216.374967387339,1.58946685660612,0.401013696106077,3.96362237010895,7.3820995615337e-05,0.00568339642909633
"FBgn0087007",133.888849244227,-1.14653413271723,0.289223302285595,-3.9641831196059,7.3647703983215e-05,0.00568339642909633
"FBgn0260486",1992.56525927263,0.639450906696319,0.161182008028544,3.96725983574468,7.27037150580856e-05,0.00568339642909633
"FBgn0031258",107.865842852847,1.24035340436761,0.313965601141086,3.95060286814743,7.79545832195192e-05,0.00593568469371481
"FBgn0027279",2961.29925138021,0.96352340092125,0.244350620113465,3.94320014605993,8.04015011413916e-05,0.00605106598322307
"FBgn0031374",1998.94697175471,0.717411061966767,0.182047905875698,3.94078173278529,8.12165011458718e-05,0.00605106598322307
"FBgn0033775",47.099009824514,-1.8014968448943,0.457779606370461,-3.9352929222374,8.30952850647434e-05,0.00612518330014476
"FBgn0260746",1144.60043972892,-0.534950191502099,0.136539129679158,-3.91792589244662,8.93141534893226e-05,0.00651429231081596
"FBgn0004108",662.675622932219,-0.788531856489732,0.201824867420472,-3.90701040247406,9.34451320987925e-05,0.00667506515786117
"FBgn0041629",13187.7462960811,-0.615915851162336,0.157608209380607,-3.90789194029205,9.31049282603722e-05,0.00667506515786117
"FBgn0031914",416.274541200644,0.574331891315586,0.147131510595741,3.90352745642381,9.48007900723013e-05,0.006702802800112
"FBgn0050069",1557.7728239335,0.781527489082909,0.200413492615045,3.899575217643,9.63615985831637e-05,0.00674433855134082
"FBgn0000116",660.693051601912,-1.03094868239123,0.264953638349443,-3.89105312466601,9.98100750690233e-05,0.00689856018103952
"FBgn0028327",3785.33237331575,-0.555621925986381,0.142861103777515,-3.88924564695845,0.000100556296476402,0.00689856018103952
